Codex,Libary,Siglum,Label,Century,PageModel,PrimaryLang
urn:cite:bnf:mss.coislin345,Bibliothèque Nationale de France,Coislin 345,LAB,?,-,grc
urn:cite:bnf:mss.gr1393,Bibliothèque Nationale de France,grec 1393,LAB,?,-,grc
urn:cite:bnf:mss.gr1402,Bibliothèque Nationale de France,grec 1402,LAB,?,-,grc
urn:cite:bnf:mss.gr1407,Bibliothèque Nationale de France,grec 1407,LAB,?,-,grc
urn:cite:bnf:mss.gr2370,Bibliothèque Nationale de France,grec 2370,LAB,?,-,grc
urn:cite:bnf:mss.gr2389,Bibliothèque Nationale de France,grec 2389,LAB,?,-,grc
urn:cite:bnf:mss.gr2556,Bibliothèque Nationale de France,grec 2556,LAB,?,-,grc
urn:cite:bnf:mss.gr2700,Bibliothèque Nationale de France,grec 2700,LAB,?,-,grc
urn:cite:bnf:mss.gr2705,Bibliothèque Nationale de France,grec 2705,LAB,?,-,grc
urn:cite:bnf:mss.grsupp652,Bibliothèque Nationale de France,supplément grec 652,LAB,?,-,grc
urn:cite:bnf:mss.grsupp663,Bibliothèque Nationale de France,supplément grec 663,LAB,?,-,grc
urn:cite:bnf:mss.grsupp1189,Bibliothèque Nationale de France,supplément grec 1189,LAB,?,-,grc
urn:cite:bnf:mss.lat981,Bibliothèque Nationale de France,lat. 981,LAB,?,-,lat
urn:cite:bnf:mss.lat4804,Bibliothèque Nationale de France,lat. 4804,LAB,?,-,lat
urn:cite:bnf:mss.lat4802,Bibliothèque Nationale de France,lat. 4802,LAB,?,-,lat
