Image,Caption,Rights
urn:cite:ecod:sg570img.csg-0570_001,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 1","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 1, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_002,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 2","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 2, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_003,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 3","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 3, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_004,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 4","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 4, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_005,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 5","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 5, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_006,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 6","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 6, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_007,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 7","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 7, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_008,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 8","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 8, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_009,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 9","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 9, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_010,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 10","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 10, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_011,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 11","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 11, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_012,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 12","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 12, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_013,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 13","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 13, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_014,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 14","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 14, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_015,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 15","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 15, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_016,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 16","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 16, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_017,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 17","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 17, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
urn:cite:ecod:sg570img.csg-0570_018,"St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 18","Image of St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 18, from the e-codices project, under the terms of the Creative Commons Attribution-NonCommercial 3.0 Unported (CC BY-NC 3.0) license"
