Image,Caption,Rights
urn:cite:bnf:gr2370img.bnf2370-page15,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 1, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page16,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 1, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page17,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 2, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page18,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 2, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page19,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 3, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page20,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 3, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page21,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 4, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page22,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 4, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page23,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 5, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page24,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 5, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page25,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 6, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page26,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 6, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page27,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 7, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page28,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 7, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page29,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 8, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page30,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 8, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2370img.bnf2370-page31,"Bibliothèque nationale de France, Département des manuscrits, Grec 2370, folio 9, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
