Image,Rights,Caption
urn:cite:bnf:grsupp679img.bnfgrsupp679_img13,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 1 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img14,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 1 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img15,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 2 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img16,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 2 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img17,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 3 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img18,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 3 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img19,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 4 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img20,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 4 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img21,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 5 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img22,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 5 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img23,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 6 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img24,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 6 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img25,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 7 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img26,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 7 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img27,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 8 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img28,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 8 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img29,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 9 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img30,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 9 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img31,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 10 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img32,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 10 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img33,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 11 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img34,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 11 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img35,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 12 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img36,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 12 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img37,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 13 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img38,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 13 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img39,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 14 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img40,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 14 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img41,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 15 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img42,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 15 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img43,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 16 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img44,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 16 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img45,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 17 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img46,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 17 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img47,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 18 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img48,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 18 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img49,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 19 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img50,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 19 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img51,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 20 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img52,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 20 verso"
