Image,Caption,Rights
urn:cite:episteme:bpg78img.handy_1357,"Leiden, BPG 78, folio 56 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1358,"Leiden, BPG 78, folio 56 verso","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1359,"Leiden, BPG 78, folio 57 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1360,"Leiden, BPG 78, folio 57 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1361,"Leiden, BPG 78, folio 57 verso","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1362,"Leiden, BPG 78, folio 58 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1363,"Leiden, BPG 78, folio 58 verso","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1364,"Leiden, BPG 78, folio 59 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1365,"Leiden, BPG 78, folio 59 verso","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1366,"Leiden, BPG 78, folio 59 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1367,"Leiden, BPG 78, folio 59 verso","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1368,"Leiden, BPG 78, folio 60 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1369,"Leiden, BPG 78, folio 60 verso","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1370,"Leiden, BPG 78, folio 61 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1371,"Leiden, BPG 78, folio 61 verso","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1372,"Leiden, BPG 78, folio 62 recto","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:bpg78img.handy_1373,"Leiden, BPG 78, folio 62 verso","Creative Commons Attribution, Non-Commercial, Share-Alike"
