Image,Caption,Rights
urn:cite:bnf:coislin345img.Coislin345-page16,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 1, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page17,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 1, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page18,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 2, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page19,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 2, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page20,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 3, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page21,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 3, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page22,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 4, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page23,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 4, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page24,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 5, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page25,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 5, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page26,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 6, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page27,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 6, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page28,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 7, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page29,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 7, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page30,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 8, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page31,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 8, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page32,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 9, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page33,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 9, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page34,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 10, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page35,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 10, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page36,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 11, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page37,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 11, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page38,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 12, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page39,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 12, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page40,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 13, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page41,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 13, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page42,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 14, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page43,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 14, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page44,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 15, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page45,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 15, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page46,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 16, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page47,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 16, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page48,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 17, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page49,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 17, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page50,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 18, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page51,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 18, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page52,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 19, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page53,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 19, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page54,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 20, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page55,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 20, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page56,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 21, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page57,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 21, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page58,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 22, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page59,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 22, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page60,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 23, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page61,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 23, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page62,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 24, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page63,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 24, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page64,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 25, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page65,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 25, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page66,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 26, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page67,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 26, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page68,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 27, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page69,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 27, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page70,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 28, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page71,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 28, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page72,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 29, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page73,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 29, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page74,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 30, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page75,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 30, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page76,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 31, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page77,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 31, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page78,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 32, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page79,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 32, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page80,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 33, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page81,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 33, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page82,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 34, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page83,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 34, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page84,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 35, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page85,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 35, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page86,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 36, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page87,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 36, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page88,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 37, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page89,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 37, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page90,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 38, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page91,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 38, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page92,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 39, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page93,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 39, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page94,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 40, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page95,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 40, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page96,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 41, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345-page97,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 41, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
