Image,Caption,Rights
urn:cite:bnf:ar2484img.bnfar2484_img293,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 144 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img294,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 144 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img295,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 145 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img296,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 145 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img297,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 146 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img298,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 146 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img299,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 147 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img300,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 147 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img301,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 148 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img302,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 148 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img303,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 149 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img304,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 149 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img305,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 150 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img306,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 150 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img307,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 151 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img308,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 151 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img309,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 152 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img310,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 152 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img311,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 153 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img312,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 153 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img313,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 154 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img314,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 154 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img315,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 155 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img316,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 155 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img317,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 156 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img318,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 156 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img319,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 157 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img320,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 157 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img321,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 158 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img322,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 158 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img323,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 159 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img324,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 159 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img325,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 160 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img326,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 160 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img327,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 161 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img328,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 161 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img329,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 162 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img330,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 162 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img331,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 163 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img332,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 163 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img333,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 164 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img334,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 164 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img335,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 165 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img336,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 165 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img337,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 166 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img338,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 166 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img339,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 167 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:ar2484img.bnfar2484_img340,"Bibliothèque nationale de France, Département des manuscrits, Arabe 2484, folio 167 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
