Image,Caption,Rights
"urn:cite:ap:apimg.0000-088v_Arch03r_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 88 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-088v_Arch03r_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 88 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-100r_Arch53v_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 100 recto.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-100r_Arch53v_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 100 recto.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-100r_Arch53v_Sinar_pseudo_no-veil","Digital scan of Heiberg photograph, 100 recto.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-100r_Arch53v_Sinar_pseudo_sharpie","Composite pseudo-color image, 100 recto","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-100v_Arch53r_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 100 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-100v_Arch53r_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 100 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-100v_Arch53r_Sinar_pseudo_no-veil","Digital scan of Heiberg photograph, 100 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-100v_Arch53r_Sinar_pseudo_sharpie","Composite pseudo-color image, 100 verso","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-101v_Arch51r_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 101 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-101v_Arch51r_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 101 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-111r_Arch62v_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 111 recto.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-111r_Arch62v_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 111 recto.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-111v_Arch62r_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 111 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-111v_Arch62r_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 111 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-117v_Arch67r_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 117 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-117v_Arch67r_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 117 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-122v_Alex07r_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 122 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-122v_Alex07r_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 122 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-164v_Arch14r_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 164 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-164v_Arch14r_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 164 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-171r_Arch68v_Sinar_pseudo_no-veil","Digital scan of Heiberg photograph, 164 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-171r_Arch68v_Sinar_pseudo_sharpie","Composite pseudo-color image, 171 recto","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-171v_Arch68r_Sinar_pseudo_no-veil","Composite pseudo-color image, 171 recto","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-171v_Arch68r_Sinar_pseudo_sharpie","Composite pseudo-color image, 171 verso","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-172v_Arch69r_Heiberg_ultraviolet_stitch","Digital scan of Heiberg photograph, 172 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.0000-172v_Arch69r_Heiberg_visible_stitch","Digital scan of Heiberg photograph, 172 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
"urn:cite:ap:apimg.002r-001v_Arch13r_Sinar_pseudo_no-veil","Digital scan of Heiberg photograph, 172 verso.","This image is available under the terms of the Creative Commons Attribution 3.0 Unported Access license (CC BY 3.0)."
