Image,Caption,Rights
urn:cite:bnf:gr1393img.bnf1393_img13,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 1, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img14,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 1, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img15,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 2, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img16,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 2, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img17,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 3, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img18,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 3, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img19,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 4, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img20,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 4, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img21,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 5, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img22,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 5, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img23,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 6, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img24,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 6, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img25,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 7, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img26,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 7, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img27,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 8, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img28,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 8, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img29,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 9, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img30,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 9, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img31,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 10, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img32,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 10, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img33,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 11, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img34,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 11, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img35,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 12, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img36,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 12, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img37,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 13, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img38,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 13, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img39,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 14, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img40,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 14, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img41,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 15, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img42,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 15, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img43,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 16, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img44,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 16, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img45,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 17, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img46,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 17, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img47,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 18, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img48,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 18, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img49,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 19, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img50,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 19, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img51,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 20, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img52,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 20, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img53,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 21, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img54,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 21, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img55,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 22, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img56,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 22, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr1393img.bnf1393_img57,"Bibliothèque nationale de France, Département des manuscrits, Grec 1393, folio 23, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
