Image,Caption,Rights
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img11,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 1, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img12,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 1, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img13,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 2, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img14,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 2, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img15,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 3, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img16,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 3, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img17,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 4, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img18,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 4, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img19,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 5, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img20,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 5, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img21,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 6, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img22,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 6, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img23,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 7, recto,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:grsupp1189img.bnfsuppgr1189_img24,"Bibliothèque nationale de France, Département des manuscrits, supplément grec 1189, folio 7, verso,","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
