Image,Caption,Rights
urn:cite:bnf:coislin345img.Coislin345_img16,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 1, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img17,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 1, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img18,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 2, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img19,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 2, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img20,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 3, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img21,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 3, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img22,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 4, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img23,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 4, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img24,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 5, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img25,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 5, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img26,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 6, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img27,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 6, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img28,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 7, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img29,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 7, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img30,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 8, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img31,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 8, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img32,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 9, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img33,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 9, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img34,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 10, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img35,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 10, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img36,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 11, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img37,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 11, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img38,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 12, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img39,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 12, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img40,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 13, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img41,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 13, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img42,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 14, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img43,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 14, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img44,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 15, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img45,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 15, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img46,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 16, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img47,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 16, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img48,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 17, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img49,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 17, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img50,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 18, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img51,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 18, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img52,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 19, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img53,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 19, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img54,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 20, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img55,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 20, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img56,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 21, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img57,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 21, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img58,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 22, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img59,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 22, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img60,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 23, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img61,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 23, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img62,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 24, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img63,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 24, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img64,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 25, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img65,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 25, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img66,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 26, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img67,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 26, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img68,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 27, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img69,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 27, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img70,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 28, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img71,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 28, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img72,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 29, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img73,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 29, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img74,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 30, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img75,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 30, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img76,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 31, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img77,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 31, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img78,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 32, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img79,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 32, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img80,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 33, recto,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:coislin345img.Coislin345_img81,"Bibliothèque nationale de France, Département des manuscrits, Coislin 345, folio 33, verso,","Public-domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
