Image,Caption,Rights
urn:cite:cp:cpgraec415img.cpgraec415_img25,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 1, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img26,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 1, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img27,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 2, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img28,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 2, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img29,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 3, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img30,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 3, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img31,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 4, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img32,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 4, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img33,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 5, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img34,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 5, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img35,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 6, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img36,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 6, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img37,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 7, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img38,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 7, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img39,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 8, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img40,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 8, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img41,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 9, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img42,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 9, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img43,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 10, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img44,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 10, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img45,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 11, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img46,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 11, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img47,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 12, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img48,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 12, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img49,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 13, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img50,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 13, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img51,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 14, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img52,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 14, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img53,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 15, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img54,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 15, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img55,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 16, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img56,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 16, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img57,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 17, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img58,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 17, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img59,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 18, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img60,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 18, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img61,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 19, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img62,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 19, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img63,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 20, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img64,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 20, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img65,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 21, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img66,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 21, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec415img.cpgraec415_img67,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 415, folio 22, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
