Image,Caption,Rights
"urn:cite:ecod:sg339img.csg_0339_001","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 1.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 1r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_002","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 2.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 2r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_003","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 3.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 3r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_004","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 4.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 4r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_005","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 5.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 5r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_006","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 6.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 6r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_007","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 7.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 7r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_008","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 8.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 8r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_009","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 9.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 9r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_010","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 10.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 10r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_011","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 11.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 11r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_012","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 12.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 12r (www.e-codices.unifr.ch)."
"urn:cite:ecod:sg339img.csg_0339_013","St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 13.","This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 339, f. 13r (www.e-codices.unifr.ch)."
